Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
65605,The Magician’s Nephew,C.S. Lewis,"Lewis, C.S.",,"=""0060764902""","=""9780060764906""",5,4.05,HarperCollins Narnia,Mass Market Paperback,221,2005,1955,,2017/02/11,,,read,,,,1,0
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,"Lewis, C.S.",,"=""0439861365""","=""9780439861366""",5,3.91,Scholastic Inc,Paperback,224,1995,1954,,2017/02/11,,,read,,,,1,0
65641,"The Silver Chair (Chronicles of Narnia, #5)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",5,3.96,HarperCollins,Paperback,243,2008,1953,,2017/02/11,,,read,,,,1,0
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #4)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""006112527X""","=""9780061125270""",5,4.09,HarperCollins,Hardcover,248,2006,1952,,2017/02/11,,,read,,,,1,0
121749,"Prince Caspian (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",,"=""000720230X""","=""9780007202300""",5,3.98,HarperCollins Publishers,Hardcover,240,2005,1951,,2017/02/11,,,read,,,,1,0
218467,Lucifer's Hammer,Larry Niven,"Niven, Larry",Jerry Pournelle,"=""0449208133""","=""9780449208137""",5,4.00,Ballantine/Del Ray,Mass Market Paperback,629,1983,1977,,2017/02/11,,,read,,,,1,0
17262290,Journey (Journey Trilogy #1),Aaron Becker,"Becker, Aaron",,"=""0763660531""","=""9780763660536""",4,4.38,Candlewick Press,Hardcover,40,2013,2013,,2017/02/11,,,read,,,,2,0
71728,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",Russell Munson,"=""0743278909""","=""9780743278904""",0,3.86,Scribner,Paperback,112,2006,1970,,2017/02/11,to-read,to-read (#23),to-read,,,,0,0
22668803,Influx,Daniel Suarez,"Suarez, Daniel",,"=""0451469445""","=""9780451469441""",3,3.94,Dutton,Mass Market Paperback,528,2015,2014,,2017/02/11,,,read,,,,1,0
1404072,"In the Empire of Shadow (Three Worlds, #2)",Lawrence Watt-Evans,"Watt-Evans, Lawrence",,"=""034539786X""","=""9780345397867""",0,3.40,Del Rey,Mass Market Paperback,274,1995,1995,,2017/02/11,to-read,to-read (#22),to-read,,,,0,0
767680,If You Give a Mouse a Cookie (If You Give...),Laura Joffe Numeroff,"Numeroff, Laura Joffe",Felicia Bond,"=""""","=""9780060245863""",3,4.30,Harper Collins Publishers,Paperback,40,1996,1985,,2015/07/02,,,read,,,,2,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2017/02/11,to-read,to-read (#21),to-read,,,,0,0
56829,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""0141000511""","=""9780141000510""",0,4.16,Penguin Books,Paperback,464,2001,1984,,2017/02/11,to-read,to-read (#20),to-read,,,,0,0
