Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5470,1984,George Orwell,"Orwell, George",Erich Fromm,"=""0451524934""","=""9780451524935""",0,4.15,New American Library,Mass Market Paperback,328,1950,1949,,2017/02/13,did-not-finish,did-not-finish (#3),read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.30,Tor,Mass Market Paperback,324,1994,1985,,2017/02/13,,,read,,,,2,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",2,4.45,Bantam,Mass Market Paperback,848,2005,1996,,2017/02/13,,,read,,,,2,,,0,,,,,
15348,Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,The Harvard Lampoon,"Lampoon, The Harvard","Henry N. Beard, Douglas C. Kenney","=""0451452615""","=""9780451452610""",3,3.12,Roc Trade,Paperback,149,1993,1969,,2017/02/13,,,read,,,,1,,,0,,,,,
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",4,4.25,Houghton Mifflin,Paperback,366,2002,1937,,2017/02/13,,,read,,,,2,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",2,4.34,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2017/02/13,,,read,,,,1,,,0,,,,,
1227727,FoxTrot: A FoxTrot Collection,Bill Amend,"Amend, Bill",,"=""0836218566""","=""9780836218565""",4,4.15,Andrews McMeel Publishing,Paperback,128,1989,1989,,2017/02/13,,,read,,,,2,,,0,,,,,
109648,The Far Side Gallery 2,Gary Larson,"Larson, Gary",Stephen King,"=""0836220854""","=""9780836220858""",4,4.46,Andrews McMeel Publishing,Paperback,192,1986,1986,,2017/02/13,,,read,,,,2,,,0,,,,,
77281,The Far Side Gallery,Gary Larson,"Larson, Gary",,"=""0836220625""","=""9780836220629""",4,4.43,Andrews McMeel Publishing,Paperback,192,1984,1984,,2017/02/13,,,read,,,,2,,,0,,,,,
233691,The Far Side Gallery 3,Gary Larson,"Larson, Gary",,"=""0836218310""","=""9780836218312""",4,4.45,Andrews McMeel Publishing,Paperback,192,1988,1984,,2017/02/13,,,read,,,,2,,,0,,,,,
1060734,The City Of Greyhawk (Advanced Dungeons And Dragons: Greyhawk Adventures),Douglas Niles,"Niles, Douglas","Mike Breault, Kim Mohan","=""0880387319""","=""9780880387316""",0,3.83,"TSR, Inc.",Boxed Set,192,1989,1989,,2017/02/13,forgot,forgot (#159),read,,,,1,,,0,,,,,
1446656,Vikings Campaign Sourcebook,David Zeb Cook,"Cook, David Zeb",,"=""1560761288""","=""9781560761280""",0,3.54,TSR,Paperback,96,1991,1991,,2017/02/13,forgot,forgot (#158),read,,,,1,,,0,,,,,
723128,Tome of Magic (Advanced Dungeon & Dragons: Accessory Rulebook),David Zeb Cook,"Cook, David Zeb","Nigel Findley, Anthony Herring, Christopher Kubasik, Carl Sargent, Rick Swan","=""1560761075""","=""9781560761075""",0,3.73,TSR,Hardcover,210,1991,1991,,2017/02/13,forgot,forgot (#157),read,,,,1,,,0,,,,,
731973,The Complete Thief's Handbook,Douglas Niles,"Niles, Douglas",,"=""0880387807""","=""9780880387804""",0,3.64,"TSR, Inc",Paperback,128,1990,1990,,2017/02/13,forgot,forgot (#156),read,,,,1,,,0,,,,,
802975,The Complete Priest's Handbook,Aaron Allston,"Allston, Aaron",,"=""0880388188""","=""9780880388184""",0,3.46,"TSR, Inc",Paperback,128,1990,1990,,2017/02/13,forgot,forgot (#155),read,,,,1,,,0,,,,,
497307,The Complete Fighter's Handbook,Aaron Allston,"Allston, Aaron",,"=""0880387793""","=""9780880387798""",0,3.61,"TSR, Inc",Paperback,126,1989,1989,,2017/02/13,forgot,forgot (#154),read,,,,1,,,0,,,,,
802979,The Complete Book of Humanoids,Bill Slavicsek,"Slavicsek, Bill",,"=""1560766115""","=""9781560766117""",0,3.53,"TSR, Inc",Paperback,128,1993,1993,,2017/02/13,forgot,forgot (#153),read,,,,1,,,0,,,,,
802980,The Complete Book of Elves,Colin McComb,"McComb, Colin",,"=""1560763760""","=""9781560763765""",0,3.68,"TSR, Inc",Paperback,128,1993,1993,,2017/02/13,forgot,forgot (#152),read,,,,1,,,0,,,,,
